id,id_origen,objetivo_de_la_iniciativa,breve_descripcion,tipo_de_proyecto,codigo_de_sistema,sistema_de_abastecimiento,zona,prioridad,plazo,costo,estado,principal_reto_por_superar,observacion,responsabilidad_atencion,activo,caudal_estimado_lps,volumen_estimado_m3,km_estimado
66,,Implementar tratamiento de aguas residuales en Los Sitios,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,Cumplir mandato normativo y atender orden sanitaria.,"Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Incluido en nueva licitación a realizar por SAID. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
67,,Construir canal de aguas de lavado y rebalse en Los Sitios,"Construcción de canal para conducir aguas de lavado sanitario y aguas crudas hacia cuerpo receptor, evitando afectación a propiedades privadas.",Mejora en procesos de potabilización,MEA04,ME-A-04 Los Sitios,,,,,,Evitar daños en propiedades privadas por manejo inadecuado de aguas de lavado y rebalse.,"Impacto principal: continuidad. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
68,,Optimizar lavado sanitario del desarenador en Los Sitios,Construcción de tolvas de lodos y adecuación de desnivel de fondo para acortar el tiempo requerido en el lavado sanitario del desarenador.,Mantenimiento Correctivo y Preventivo,MEA04,ME-A-04 Los Sitios,,,,,,Reducir tiempos de lavado sanitario y mejorar evacuación de lodos.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
69,,Implementar estación de bombeo de agua cruda en Los Cuadros,"Construcción de estación de bombeo de agua cruda para permitir reubicación de la aducción por vía pública; mejora de captación, nuevo desarenador o presedimentador y medición en línea para eventos de contaminación.",Mejora en procesos de potabilización,MEA08,ME-A-08 Los Cuadros,,,,,,Reducir vulnerabilidad de la tubería de aducción y mejorar control de calidad del agua cruda.,Impacto principal: continuidad. Ruta propuesta: proyecto de inversión. No requiere solicitud de necesidad de proyecto según insumo. Requiere apoyo de PyC para diseño. Valorar ejecución mediante convenio marco según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
70,,"Construir floculador, sedimentador y dos filtros adicionales en Los Cuadros","Construcción de un nuevo módulo de floculación, sedimentación y dos filtros adicionales para aumentar capacidad de tratamiento en invierno.",Mejora en procesos de potabilización,MEA08,ME-A-08 Los Cuadros,,,,,,Aumentar capacidad de tratamiento aprovechando disponibilidad de espacio.,"Impacto principal: cantidad. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Completar solicitud y remitir a Planificación. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
71,,Implementar tratamiento de aguas residuales en Los Cuadros,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA08,ME-A-08 Los Cuadros,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
72,,Implementar estación de bombeo de agua cruda en San Juan de Dios,Modificación del desarenador e implementación de estación de bombeo de agua cruda para reubicar la tubería de aducción por vía pública.,Mejora en procesos de potabilización,MEA06,ME-A-06 San Juan de Dios,,,,,,"Atender vulnerabilidades, limitaciones hidráulicas y falta de servidumbres en la aducción existente.",Impacto principal: cantidad y continuidad. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Valorar ejecución mediante convenio marco según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
73,,Optimizar unidades de floculación y sedimentación en San Juan de Dios,"Reconstrucción de unidades de floculación para optimizar gradientes de velocidad, eliminar cortocircuitos hidráulicos y construir tolvas que faciliten lavado sanitario en sedimentación.",Mejora en procesos de potabilización,MEA06,ME-A-06 San Juan de Dios,,,,,,Mejorar eficiencia hidráulica y sanitaria de unidades existentes.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
74,,Implementar tratamiento de aguas residuales en San Juan de Dios,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA06,ME-A-06 San Juan de Dios,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
75,,Construir cámara de ingreso para agua cruda en Salitral,Construcción de cámara de ingreso que permita disipación de energía hidráulica y repartición de caudales para optimizar la dosificación química.,Mejora en procesos de potabilización,MEA05,ME-A-05 Salitral,,,,,,Mejorar reparto de caudales y eficiencia en la dosificación de insumos químicos.,Impacto principal: calidad. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante convenio marco 2024LY-000029-0021400001. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
76,,Implementar tratamiento de aguas residuales en Salitral,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA05,ME-A-05 Salitral,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
77,,Instalar tramo faltante de tubería a la salida del desarenador en Salitral,Completar instalación de tramo de tubería de aducción faltante a la salida del desarenador.,Mejora en procesos de potabilización,MEA05,ME-A-05 Salitral,,,,,,Completar infraestructura hidráulica pendiente en la salida del desarenador.,Impacto principal: cantidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Zona / LC.,,,,,
78,,Sustituir tubería de aducción de Captación Londres en Escazú,"Sustitución de tubería PVC de aducción entre Captación Londres y desarenador por tubería de polietileno, incluyendo obras de mitigación.",Sustitución de tuberías,MEA07,ME-A-07 San Antonio de Escazu,,,,,,Reducir riesgo de ruptura por deslizamientos y caída de objetos.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Zona / LC.,,,,,5.0
79,,Construir cámara de contacto unificada en Escazú,Construcción de una nueva cámara de contacto que unifique caudales de dos baterías de filtros para mejorar la desinfección.,Mejora en procesos de potabilización,MEA07,ME-A-07 San Antonio de Escazu,,,,,,Corregir variaciones en eficiencia de desinfección generadas por dos vertederos de salida.,Impacto principal: calidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
80,,Implementar tratamiento de aguas residuales en Escazú,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA07,ME-A-07 San Antonio de Escazu,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: cantidad y normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
81,,Sustituir tubería de aducción en Coronado,"Sustitución de tubería PVC de aducción desde la captación hacia la planta por tubería de polietileno, incluyendo obras de mitigación.",Sustitución de tuberías,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Reducir riesgo de ruptura por deslizamientos y caída de objetos.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Zona / LC.,,,,,5.0
82,,Optimizar hidráulicamente unidades de tratamiento en Coronado,"Sustitución de tubería entre desarenador y floculadores, ampliación del canal hacia sedimentadores y reubicación de tubos recolectores de agua decantada.",Mejora en procesos de potabilización,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Aumentar capacidad de tratamiento y mejorar funcionamiento de infraestructura existente.,Impacto principal: cantidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
83,,Construir obras de estabilización en Coronado,Obras de estabilización en terreno colindante con quebrada para mitigar riesgo de afectación de la estructura de potabilización.,Mantenimiento Correctivo y Preventivo,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Riesgo de pequeños deslizamientos por cercanía a quebrada.,"Impacto principal: continuidad. Licitaciones relacionadas: 2024LY-000029-0021400001 y 2023LY-000013-0021400001 estabilización. Ruta propuesta: estabilización. No requiere solicitud de necesidad de proyecto. Ejecución: LC, requiere 1 Ejecutivo Avanzado y 2 GE.",,,,,
84,,Reubicar captación La Valera en Coronado,Reubicación aguas arriba de la captación La Valera hacia un sitio con menor riesgo de contaminación y vulnerabilidad.,Mejora en procesos de potabilización,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Atender contaminación de origen antropogénico y reducir vulnerabilidad de la captación existente.,"Impacto principal: continuidad. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
85,,Implementar tratamiento de aguas residuales en Coronado,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA14,ME-A-14 San Rafael de Coronado,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
86,,Reubicar tuberías de aducción en San Jerónimo,Optimización y reubicación por vía pública de tuberías de aducción vulnerables y con servidumbres de paso.,Sustitución de tuberías,MEA13,ME-A-13 San Jeronimo de Moravia,,,,,,Reducir vulnerabilidad de la aducción y resolver limitaciones asociadas a servidumbres.,"Impacto principal: continuidad. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Zona / LC.",,,,,5.0
87,,Construir desarenador en San Jerónimo,Construcción de estructura de desarenación cercana a las captaciones Cascajal y La Palma.,Mejora en procesos de potabilización,MEA13,ME-A-13 San Jeronimo de Moravia,,,,,,Incorporar infraestructura de desarenación donde actualmente no existe.,"Impacto principal: calidad y continuidad. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
88,,Implementar tratamiento de aguas residuales en San Jerónimo,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA13,ME-A-13 San Jeronimo de Moravia,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
89,,Construir obras de estabilización en Quitirrisí,Obras de estabilización en terreno colindante con quebrada para mitigar riesgo de afectación de la estructura de potabilización.,Mantenimiento Correctivo y Preventivo,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,Riesgo de pequeños deslizamientos por cercanía a quebrada.,"Impacto principal: continuidad. Licitaciones relacionadas: 2024LY-000029-0021400001 y 2023LY-000013-0021400001 estabilización. Ruta propuesta: estabilización. No requiere solicitud de necesidad de proyecto. Ejecución: LC, requiere 1 Ejecutivo Avanzado y 2 GE.",,,,,
90,,Construir tanque de almacenamiento en Quitirrisí,"Construcción de tanque para regulación, tiempo de contacto de desinfección y apoyo a la operación del Booster San Antonio y retrolavado de filtros.",Mejora en Almacenamiento,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,Incorporar volumen de regulación y mejorar condiciones de operación y desinfección.,"Impacto principal: cantidad. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 2, Tanques de Almacenamiento GAM.",,,,1500.0,
91,,Implementar tratamiento de aguas residuales en Quitirrisí,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
92,,Proteger captación Río Tabarcia y desarenador Río Negro en Quitirrisí,Obras de protección para reducir afectaciones causadas por crecidas de los ríos Tabarcia y Negro sobre captación y desarenador.,Mantenimiento Correctivo y Preventivo,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,Riesgo estructural por crecidas y afectación de infraestructura de captación y desarenación.,"Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: estabilización. No requiere solicitud de necesidad de proyecto. Valorar ejecución mediante contratación de estabilización 2023LY-000013-0021400001. Ejecución: LC, requiere 1 Ejecutivo Avanzado y 2 GE.",,,,,
93,,Construir presedimentador en río Tabarcia,Construcción de presedimentador contiguo al desarenador del río Tabarcia para disminuir turbiedad temporal en agua cruda.,Mejora en procesos de potabilización,MEA12,ME-A-12 Quitirrisi (Ciudad Colon),,,,,,Reducir regulación o suspensión operativa por eventos de alta turbiedad.,Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Valorar ejecución mediante convenio marco según alcance aplicable. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
94,,Construir nueva captación y desarenador-presedimentador en Alajuelita,"Reconstrucción de captación y desarenador, incorporando etapa de presedimentación para mejorar tratamiento de turbiedad temporal.",Mejora en procesos de potabilización,MEA09,ME-A-09 Alajuelita,,,,,,Disminuir turbiedad temporal en agua cruda y aumentar continuidad operativa de la planta.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
95,,Construir cuarto módulo de tratamiento en Alajuelita,Construcción del cuarto módulo de floculación y sedimentación previsto en el diseño original de la planta.,Mejora en procesos de potabilización,MEA09,ME-A-09 Alajuelita,,,,,,Completar capacidad prevista en diseño original y mejorar condiciones operativas del tratamiento.,"Impacto principal: calidad, cantidad y continuidad. Licitación vigente: 2024LY-000029-0021400001 / Proyecto de inversión. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
96,,Implementar tratamiento de aguas residuales en Alajuelita,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA09,ME-A-09 Alajuelita,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
97,,Construir desarenador en El Llano,Construcción de desarenador con etapa de presedimentación para eliminar arenas y reducir turbiedad temporal del agua cruda.,Mejora en procesos de potabilización,MEA03,ME-A-03 El Llano,,,,,,Aumentar tiempo de operación de la planta de filtración lenta mediante reducción de turbiedad temporal.,Impacto principal: continuidad. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
98,,Convertir El Llano a planta rápida,"Adecuación de instalaciones actuales e implementación de dos módulos de floculación y sedimentación similares a Planta Alajuelita, en caso de no poder garantizar suministro permanente desde Tanque El Llano.",Mejora en procesos de potabilización,MEA03,ME-A-03 El Llano,,,,,,Definir viabilidad de conversión a filtración rápida y disponibilidad permanente de caudal alterno.,"Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Agrupar iniciativas afines y remitir a Planificación. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
99,,Sustituir conducción de nacientes Mongue en Guatuso,"Reemplazo de tubería PVC de conducción de nacientes Mongue por tubería de polietileno, incluyendo obras de mitigación.",Sustitución de tuberías,MEA11,ME-A-11 Guatuso Patarra,,,,,,Reducir vulnerabilidad de conducción existente en PVC.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Zona / LC.,,,,,5.0
100,,Optimizar captación La Mina en Guatuso,Reconstrucción de captación La Mina y sustitución de tubería de aducción hacia la planta.,Mejora en procesos de potabilización,MEA11,ME-A-11 Guatuso Patarra,,,,,,Mejorar condición de captación y conducción hacia la planta.,Impacto principal: continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
101,,Implementar tratamiento de aguas residuales en Guatuso,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA11,ME-A-11 Guatuso Patarra,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
102,,Optimizar captación en Mata de Plátano,Reconstrucción de captación y sustitución de tubería de aducción hacia la planta.,Mejora en procesos de potabilización,MEA10,ME-A-10 Mata de Plátano,,,,,,Mejorar infraestructura de captación y conducción hacia la planta.,Impacto principal: cantidad y continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
103,,Implementar tratamiento de aguas residuales en Mata de Plátano,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA10,ME-A-10 Mata de Plátano,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
104,,Reconstruir unidad de floculación en Hacienda Vieja,"Reconstrucción de unidad de floculación para adecuarla al caudal, tiempo óptimo de floculación y gradientes de velocidad requeridos.",Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Ajustar unidad de floculación a condiciones hidráulicas y de tratamiento requeridas.,Impacto principal: calidad y cantidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
105,,Construir dos filtros adicionales en Hacienda Vieja,Construcción de dos unidades de filtración adicionales para reducir afectaciones por retrolavados y mantenimiento de medios filtrantes.,Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Mejorar continuidad de filtración durante retrolavados y mantenimiento.,"Impacto principal: calidad, cantidad y continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.",,,,,
106,,Construir tanque de almacenamiento en Hacienda Vieja,Construcción de tanque de almacenamiento para volumen de compensación y tiempo de contacto requerido para desinfección.,Mejora en Almacenamiento,MEA27,ME-A-27 El Guarco,,,,,,Incorporar volumen de compensación y mejorar condiciones de desinfección.,"Impacto principal: continuidad. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Agrupar iniciativas afines y remitir a Planificación. Ejecución: Proyecto 2, Tanques de Almacenamiento GAM.",,,,1500.0,
107,,Implementar tratamiento de aguas residuales en Hacienda Vieja,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
108,,Reconstruir tubería entre floculador y sedimentador en Higuito,Reconstrucción de tubería de unión entre floculación y sedimentación para permitir mayor caudal y menor ruptura del floc formado.,Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Mejorar transferencia hidráulica entre unidades y proteger formación del floc.,Impacto principal: calidad y cantidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
109,,Optimizar captación en Higuito,Reconstrucción de captación y sustitución de tubería de aducción hacia la planta.,Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Mejorar infraestructura de captación y conducción hacia la planta.,Impacto principal: cantidad y continuidad. Licitación vigente: 2024LY-000029-0021400001. Ruta propuesta: convenio marco. No requiere solicitud de necesidad de proyecto. Requiere apoyo de PyC para diseño. Ejecución: PyC diseño y términos de referencia / Mantenimiento Civil.,,,,,
110,,Implementar tratamiento de aguas residuales en Higuito,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA27,ME-A-27 El Guarco,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
111,,Remodelar Planta Potabilizadora Guadalupe,Rediseño de etapas de tratamiento para adecuarlas a la nueva calidad del agua cruda que recibe la planta.,Mejora en procesos de potabilización,MEA02,ME-A-02 Guadalupe,,,,,,Adecuar el proceso de tratamiento a la calidad actual del agua cruda.,"Impacto principal: calidad y continuidad. Apoyo: UEN Programación y Control, oficio SG-GSGAM-2021-02142. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
112,,Implementar tratamiento de aguas residuales en Guadalupe,"Construcción de sistema de tratamiento de aguas residuales y disposición de lodos generados en potabilización, incluyendo recirculación de agua.",Mejora en procesos de potabilización,MEA02,ME-A-02 Guadalupe,,,,,,Cumplir mandato normativo y gestionar adecuadamente aguas de lavado y lodos.,"Impacto principal: normativo. Apoyo: UEN Programación y Control, oficio UEN-PyDPP-GAM-2016-000459. Ruta propuesta: proyecto de inversión. Sí requiere solicitud de necesidad de proyecto. Ejecución: Proyecto 1, Mejoras a Plantas Potabilizadoras GAM.",,,,,
113,,Instalar sensores para detección de eventos de contaminación,"Suministro e instalación de equipos de medición en tiempo real para alerta temprana ante contaminantes químicos en agua cruda, como aguas residuales, hidrocarburos, ácidos o bases.",Mejora en procesos de potabilización,Todas las plantas potabilizadoras,Todos los sistemas AyA,,,,,,Implementar alerta temprana para evitar ingreso de contaminantes a unidades de tratamiento.,Impacto principal: calidad. Ruta propuesta: licitación mayor. No requiere solicitud de necesidad de proyecto. Licitación en trámite por Plantas. Ejecución: Plantas.,,,,,
114,,Instalar medidores de caudal en agua cruda y agua potable,"Suministro e instalación de medidores de caudal para optimizar dosificación de insumos químicos, control de producción y cuantificación de aguas residuales generadas en lavados sanitarios.",Mejora en procesos de potabilización,Todas las plantas potabilizadoras,Todos los sistemas AyA,,,,,,Coordinar instalación y uso operativo de mediciones de caudal con Optimización/RANC.,Impacto principal: calidad. Apoyo: Optimización / RANC. Ruta propuesta: Optimización / RANC. No requiere solicitud de necesidad de proyecto. Ejecución: OS/RANC.,,,,,
115,,Implementar monitoreo de parámetros de calidad y mando a distancia,Instalación de equipos de medición en línea de parámetros fisicoquímicos y actuadores en válvulas de control para supervisión y control del proceso de potabilización.,Mejora en procesos de potabilización,Todas las plantas potabilizadoras,Todos los sistemas AyA,,,,,,Verificar alcance en licitación vigente e integrar monitoreo y telemando al proceso operativo.,Impacto principal: calidad. Ruta propuesta: licitación mayor. No requiere solicitud de necesidad de proyecto. Verificar alcance en licitación vigente de Plantas. Ejecución: Plantas.,,,,,
